position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender
94,94,Cao Longxiang,Cao,cao-longxiang,no-pic,2100,58,pharmaceuticals,Healthcare,M
95,94,Chen Bang,Chen,chen-bang,chen-bang,2100,50,hospitals,Healthcare,M
96,96,Xue Xiangdong,Xue,xue-xiangdong,no-pic,2080,56,software,Technology,M
97,97,Yan Zhi,Yan,yan-zhi,yan-zhi,2050,42,real estate,Real Estate,M
98,97,Yang Keng,Yang,yang-keng,yang-keng,2050,54,real estate,Real Estate,M
99,99,Kei Hoi Pang,Kei,kei-hoi-pang,kei-hoi-pang,2000,49,real estate,Real Estate,M
100,99,Wong Luen Hei,Wong,wong-luen-hei,wong-luen-hei,2000,53,home building materials,Manufacturing,M
101,101,Zheng Yuewen,Zheng,zheng-yuewen,zheng-yuewen,1990,53,investments,Diversified,M
102,102,Chanchai Ruayrungruang,Ruayrungruang,chanchai-ruayrungruang,chanchai-ruayrungruang,1980,61,real estate,Real Estate,M
103,102,Sun Qinghuan,Sun,sun-qinghuan,no-pic,1980,42,lighting,Manufacturing,M
